dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	TempEst	IQ-TREE	region	Southern Africa	4	28	-0.75
locrisk260.1	TempEst	IQ-TREE	region	Southern Asia	2	3	-0.2
locrisk260.1	TempEst	IQ-TREE	region	Southern Europe	0	5	-1
locrisk260.1	TempEst	IQ-TREE	region	Western Africa	1	3	-0.5
locrisk260.1	TempEst	IQ-TREE	region	Western Asia	0	6	-1
locrisk260.1	TempEst	IQ-TREE	region	Western Europe	0	3	-1
locrisk260.1	TempEst	IQ-TREE	risk4	OT	69	12	0.7037037037037037
locrisk260.1	TempEst	IQ-TREE	risk4	PI	10	2	0.6666666666666666
locrisk260.1	TempEst	IQ-TREE	risk4	SH	7	69	-0.8157894736842105
locrisk260.1	TempEst	IQ-TREE	risk4	SM	1	4	-0.6
locrisk260.1	TempEst	IQ-TREE	risk5	MB	0	4	-1
locrisk260.1	TempEst	IQ-TREE	risk5	OT	40	39	0.012658227848101266
locrisk260.1	TempEst	IQ-TREE	risk5	PI	3	2	0.2
locrisk260.1	TempEst	IQ-TREE	risk5	SH	41	36	0.06493506493506493
locrisk260.1	TempEst	IQ-TREE	risk5	SM	1	4	-0.6
locrisk260.1	TempEst	IQ-TREE	risk6	MB	0	4	-1
locrisk260.1	TempEst	IQ-TREE	risk6	NR	14	86	-0.72
locrisk260.1	TempEst	IQ-TREE	risk6	OT	46	8	0.7037037037037037
locrisk260.1	TempEst	IQ-TREE	risk6	PI	25	3	0.7857142857142857
locrisk260.1	TempEst	IQ-TREE	risk6	SH	50	32	0.21951219512195122
locrisk260.1	TempEst	IQ-TREE	risk6	SM	2	4	-0.3333333333333333
locrisk260.1	TempEst	PhyML	continent	Africa	23	4	0.7037037037037037
locrisk260.1	TempEst	PhyML	continent	Americas	1	3	-0.5
locrisk260.1	TempEst	PhyML	continent	Asia	1	9	-0.8
locrisk260.1	TempEst	PhyML	continent	Europe	10	19	-0.3103448275862069
locrisk260.1	TempEst	PhyML	country	AR	0	1	-1
